Country,Energy balance,Standard international energy product classification (SIEC),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Latvia,Gross available energy,Total,97990.125,89010.031,73552.15,64301.247,59262.354,55649.004,54571.576,52897.739,51050.224,46888.083,45037.555,50452.466,50257.41,53070.713,54531.315,56395.187,57706.678,58893.864,56980.96,55627.711,56763.809,53403.728,55571.386,54732.809,54477.348,53895.428,54738.796,55955.391,56190.896,57455.121,53129.485,55681.727,52105.426,
Latvia,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Total energy supply,Total,91651.564,86224.056,71156.442,61523.922,55722.715,53609.854,53059.526,51691.239,50526.232,46422.055,44631.133,47866.244,47543.008,50421.502,51615.865,52686.445,54648.819,55885.394,53460.741,51260.911,52472.156,49537.481,51393.614,50510.7,50507.273,49684.175,49649.31,51301.84,53963.154,52227.836,50045.409,52360.6,49592.164,
Lithuania,Available for final consumption,Total,121006.692,128349.289,77894.428,59163.981,59321.147,59112.642,59290.544,59020.758,58751.508,54093.669,49449.572,53750.622,55534.918,57166.614,59023.933,62160.388,65624.304,74041.896,71882.333,61392.629,63029.617,68387.061,69757.451,65840.611,67545.075,68564.903,70335.031,74828.673,76712.606,77292.701,74777.993,77689.387,69959.852,
Lithuania,Gross available energy,Total,190581.969,202703.2,133412.439,109405.081,97855.692,104577.239,112402.742,105841.069,110775.583,94936.292,86540.651,98829.65,105740.771,110227.756,111737.625,106117.025,104775.264,113061.994,113029.809,104302.588,83977.26,87067.45,87676.33,82609.336,82237.008,84435.041,87437.613,91510.79,93438.302,93000.989,90883.532,94626.803,84742.333,
Lithuania,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Total energy supply,Total,187937.461,199047.981,129336.436,107141.106,95667.739,102499.483,110519.789,104776.764,109858.872,93786.686,85203.618,97317.994,104153.921,108596.656,110035.014,103930.508,102574.608,110925.411,111107.171,102422.988,81795.435,84788.822,85546.88,80787.924,81209.234,82605.14,84435.38,88247.624,89632.567,89304.992,88137.737,91716.808,81765.656,
Luxembourg,Available for final consumption,Total,32200.228,34725.303,35124.945,35953.322,35264.61,32497.695,33451.916,33677.874,33688.777,35202.757,37736.385,39341.055,39309.926,42036.376,46625.919,47634.285,46900.383,45728.319,46152.826,42879.671,45677.421,45658.335,44635.405,44060.64,42237.734,41481.214,41501.008,42349.698,43921.017,44554.606,38358.381,40359.379,35494.203,
Luxembourg,Gross available energy,Total,40831.989,43558.071,43642.569,44222.777,43128.251,38674.089,39389.11,38902.13,38025.392,40069.754,42524.55,44853.867,46761.881,49281.319,54730.474,55847.359,54944.757,53899.249,53946.459,50806.677,54010.416,53145.138,51877.949,50475.114,49102.037,48592.903,48735.613,50362.424,52390.114,52865.95,46149.14,49099.297,44404.878,
Luxembourg,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Total energy supply,Total,39299.366,41965.58,42097.973,42690.155,41188.526,36470.945,36994.388,35980.569,34732.649,36202.277,38793.154,40818.029,42389.214,44726.102,49773.937,50811.222,50231.716,48833.214,48846.934,45919.923,48996.49,48454.308,47549.991,46127.532,44380.567,43270.405,42829.486,43684.37,45249.328,45880.605,39791.584,41846.449,36876.386,
Malta,Available for final consumption,Total,3124.167,3647.028,3798.056,4080.25,4025.25,3938.889,3606.75,4771.694,3631.5,4207.472,3713.861,3594.972,3200.556,3683.694,4075.75,4604.778,4528.722,4610.944,4915.722,4327.0,4828.774,4643.654,4883.816,4980.712,5171.092,5358.67,5361.369,5845.653,6122.165,6527.526,5888.366,6293.879,7021.161,
Malta,Gross available energy,Total,9283.611,9265.917,9289.028,11216.444,10314.111,9717.222,9230.278,11641.806,9339.917,10084.639,17061.861,18774.472,18322.528,21295.833,22361.556,18539.833,19650.167,20943.833,21964.389,23575.556,27769.941,26409.966,25194.364,24060.098,24604.973,26685.359,28731.27,34416.836,35515.849,36793.068,34272.196,31851.396,35382.311,
Malta,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Total energy supply,Total,8075,7822.583,7745.722,9897.583,8995.25,8315.778,8197.361,9206.306,8111.0,8845.528,7935.583,9240.25,8614.833,9699.694,9740.417,9854.278,9858.5,10062.444,10231.056,9350.833,9730.497,9673.3,10251.587,9036.209,9074.306,7464.247,6912.103,7972.458,8022.919,8564.991,8163.073,8399.326,9205.346,
Netherlands,Available for final consumption,Total,606406.185,629866.223,621420.561,634560.149,637800.117,657736.878,696967.567,672564.126,674447.992,674024.017,680786.887,691982.41,700711.975,727754.605,730978.901,718676.904,721271.069,709341.083,705387.329,692381.1,750462.067,692821.484,698632.099,690169.537,633755.21,641380.443,661504.695,677482.077,673273.186,654320.072,642382.431,656252.763,575087.262,
Netherlands,Gross available energy,Total,929171.643,964521.477,959489.296,973503.051,980612.735,1009180.726,1058754.423,1043589.447,1051878.283,1045973.529,1063318.383,1099980.01,1108897.145,1131675.263,1156600.432,1155096.746,1159592.819,1160896.667,1146127.369,1106981.134,1163158.222,1110407.908,1098287.956,1072739.465,1022667.979,1028372.504,1047305.172,1059565.134,1037354.615,1019228.071,974383.2,996660.635,916642.403,
Netherlands,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Total energy supply,Total,781977.365,811618.671,803353.296,821621.106,826552.679,851336.587,893622.34,869250.002,875586.422,862557.834,871863.3,895247.676,903949.895,937526.457,945799.876,931040.801,922895.541,919087.167,911579.341,896106.107,962310.166,895620.963,897777.872,879448.807,830138.867,845210.545,863898.618,877328.022,859643.224,840137.796,810449.423,835449.551,745081.913,
Poland,Available for final consumption,Total,762655.965,752852.227,729362.97,777806.006,710361.652,758132.826,791521.759,793900.09,732670.532,717464.959,664402.558,681496.551,680841.42,697165.982,700530.018,717574.67,758395.14,754600.458,775618.799,752601.303,818517.023,809042.642,762642.617,782554.551,751235.357,757918.639,819317.101,869666.184,928274.591,904079.11,896793.644,936269.214,890510.331,
Poland,Gross available energy,Total,1206499.006,1179795.281,1152386.348,1178845.873,1123754.803,1162202.018,1210334.902,1194355.487,1114414.546,1086859.937,1040918.146,1048121.548,1036137.118,1063275.597,1066888.151,1080488.096,1137815.532,1132880.36,1146246.82,1099076.005,1184156.645,1184347.309,1139007.069,1147160.079,1104500.682,1117192.044,1171898.38,1226878.928,1282168.259,1236825.185,1200927.253,1278749.195,1220357.049,
Poland,Primary energy consumption (Europe 2020-2030),Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Total energy supply,Total,1199252.812,1175268.392,1146653.654,1174338.484,1119230.164,1157367.518,1204646.958,1188507.876,1107905.129,1079524.909,1034338.729,1041887.576,1029848.229,1056558.958,1060596.929,1072913.679,1129291.06,1124701.804,1136689.014,1090581.227,1175739.089,1176570.614,1131065.457,1139408.19,1095991.098,1107400.933,1161825.602,1213879.094,1267323.825,1221101.488,1192102.55,1268130.751,1205798.617,
Portugal,Available for final consumption,Total,163110.744,157576.502,165069.459,164694.324,171791.715,178350.766,186265.034,196420.166,212618.915,218981.684,227243.042,230747.288,238053.489,236729.235,243571.244,243549.049,234629.852,239029.569,228165.477,221938.436,220743.432,211184.274,191345.054,189472.983,195292.441,195979.603,194534.505,197789.289,196942.849,204501.243,190666.039,197029.002,199640.509,
